file,line,severity,category,description,code
FST_Cost_V1/api/definitions/tours.php,127,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$contract_id = isset($_GET['contract_id']) ? (int)$_GET['contract_id'] : null;
FST_Cost_V1/api/definitions/tours.php,131,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$tour_id = isset($_GET['tour_id']) ? (int)$_GET['tour_id'] : null;
FST_Cost_V1/api/definitions/tours.php,173,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/tours.php,208,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT r.*, c.name as country_name FROM regions r LEFT JOIN countries c ON r.country_id = c.id ORDER BY r.name ASC"";"
FST_Cost_V1/api/definitions/tours.php,225,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT c.*, r.name as region_name, r.country_id, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,232,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT c.*, r.name as region_name, r.country_id, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,253,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT sr.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,261,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT sr.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,287,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT m.*, sr.name as sub_region_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,308,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT t.*, t.vehicle_contract_id, m.name as merchant_name, sr.name as sub_region_name, c.name as city_name, r.name as region_name, co.name as country_name"
